route_id,trip_id,stop_name,stop_sequence,arrival_time_sec_x
Orange,49812612,Downtown Crossing,100.0,84000.0
Orange,49812612,Chinatown,90.0,83880.0
Orange,49812612,Tufts Medical Center,80.0,83820.0
Orange,49812612,Back Bay,70.0,83700.0
Orange,49812612,Massachusetts Avenue,60.0,83580.0
Orange,49812612,Ruggles,50.0,83400.0
Orange,49812612,Roxbury Crossing,40.0,83340.0
Orange,49812612,Jackson Square,30.0,83220.0
Orange,49812611,Malden Center,180.0,84360.0
Orange,49812611,Community College,140.0,83760.0
Orange,49812610,Community College,140.0,83100.0
Orange,49812610,Sullivan Square,150.0,83220.0
Orange,49812610,Assembly,160.0,83340.0
Orange,49812610,Wellington,170.0,83460.0
Orange,49812610,Malden Center,180.0,83700.0
Orange,49812611,Ruggles,50.0,82740.0
Orange,49812611,Downtown Crossing,100.0,83340.0
Orange,49812612,Haymarket,120.0,84180.0
Orange,49812612,North Station,130.0,84300.0
Orange,49812612,Community College,140.0,84420.0
Orange,49812613,Sullivan Square,150.0,85200.0
Orange,49812613,Assembly,160.0,85320.0
Orange,49812613,Wellington,170.0,85440.0
Orange,49812613,Malden Center,180.0,85680.0
Orange,49812614,Jackson Square,30.0,84540.0
Orange,49812614,Ruggles,50.0,84720.0
Orange,49812614,Massachusetts Avenue,60.0,84900.0
Orange,49812614,Back Bay,70.0,85020.0
Orange,49812614,Downtown Crossing,100.0,85320.0
Orange,49812614,Roxbury Crossing,40.0,84660.0
Orange,49812613,North Station,130.0,84960.0
Orange,49812612,Sullivan Square,150.0,84540.0
Orange,49812612,Assembly,160.0,84660.0
Orange,49812612,Wellington,170.0,84780.0
Orange,49812612,Malden Center,180.0,85020.0
Orange,49812613,Jackson Square,30.0,83880.0
Orange,49812613,Back Bay,70.0,84360.0
Orange,49812613,Chinatown,90.0,84540.0
Orange,49812613,Roxbury Crossing,40.0,84000.0
Orange,49812610,Haymarket,120.0,82860.0
Orange,49812610,Downtown Crossing,100.0,82680.0
Orange,49812608,Ruggles,50.0,80760.0
Orange,49812607,Malden Center,180.0,81720.0
Orange,49812607,Wellington,170.0,81480.0
Orange,49812607,Assembly,160.0,81360.0
Orange,49812607,Sullivan Square,150.0,81240.0
Orange,49812607,Community College,140.0,81120.0
Orange,49812607,North Station,130.0,81000.0
Orange,49812607,Haymarket,120.0,80880.0
Orange,49812607,State,110.0,80820.0
Orange,49812607,Chinatown,90.0,80580.0
Orange,49812607,Tufts Medical Center,80.0,80520.0
Orange,49812606,Haymarket,120.0,80220.0
Orange,49812606,North Station,130.0,80340.0
Orange,49812606,Community College,140.0,80460.0
Orange,49812606,Sullivan Square,150.0,80580.0
Orange,49812606,Assembly,160.0,80700.0
Orange,49812608,Tufts Medical Center,80.0,81180.0
Orange,49812606,Wellington,170.0,80820.0
Orange,49812607,Jackson Square,30.0,79920.0
Orange,49812606,Malden Center,180.0,81060.0
Orange,49812608,Chinatown,90.0,81240.0
Orange,49812608,State,110.0,81480.0
Orange,49812609,Community College,140.0,82440.0
Orange,49812609,Wellington,170.0,82800.0
Orange,49812609,Malden Center,180.0,83040.0
Orange,49812609,Haymarket,120.0,82200.0
Orange,49812610,Stony Brook,20.0,81780.0
